method,candidate_skill,candidate_params_json,raw_critic_risk,hard_contract_score,hard_contract_fixed_reject,threshold,risk_margin,decision,reject_reason,episode_id,episode_index,seed,skill_idx,attempt_type,attempt_index,parent_skill_idx,original_skill_idx,segment_idx,segment_count,original_candidate_skill,original_candidate_params_json,executed_skill,executed_params_json,fallback_policy,fallback_executed,recovery_action,recovery_reason,recovery_attempt_count,retry_decision,retry_reject_reason,retry_executed,task_progress_executed,final_segment_outcome,recovery_retry_count,result_status,result_termination_reason
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",0.9237100481987,0.041088905185461044,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0000,0,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",0.00010074425517814234,0.04502066224813461,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0000,0,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.8364825248718262,0.012889870442450047,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0000,0,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",0.872960090637207,0.03542206063866615,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0000,0,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",0.9989726543426514,0.05229216441512108,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0000,0,1234,5,candidate_allow,0,5,5,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",0.9979251623153687,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0000,0,1234,6,candidate_allow,0,6,6,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 2.0, ""mode"": ""wait""}",0.9712314009666443,0.42585891485214233,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0000,0,1234,7,candidate_allow,0,7,7,1,1,passive,"{""duration"": 2.0, ""mode"": ""wait""}",passive,"{""duration"": 2.0, ""mode"": ""wait""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",0.9992658495903015,0.42230063676834106,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0000,0,1234,8,candidate_allow,0,8,8,1,1,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",0.9999771118164062,0.032476577907800674,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0001,1,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",0.9999823570251465,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0001,1,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
