sample_id,phase4_split,method,method_display,source_method,implementation_fidelity,baseline_mode,skill_name,label,safe_label,raw_critic_risk,hard_contract_score,hard_contract_fixed_reject,decision,allow,reject,unsafe_invocation_if_allowed,risk_score,threshold,risk_margin,fallback_mode,reject_reason,runtime_ms,solver_status,diagnostics_json
branches:phase3_counterfactual:state_0000_o0_s2__gesture_large__r00:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.2875038041547668e-07,0.012659566476941109,0,allow,1,0,0,1.5079810900877868,2.495321523610846,-0.9873404335230591,,allow,0.016585923731327057,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.012659566476941109, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0000_o0_s2__walk_slow__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,3.5097798445349326e-06,0.01976374164223671,0,allow,1,0,0,1.5471277817939253,2.5271178133641214,-0.9799900315701962,,allow,0.006829039193689823,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.01976374164223671, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0000_o1_s2__gesture_large__r03:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.0614461959667096e-07,0.011581992730498314,0,allow,1,0,0,1.506903516341344,2.495321523610846,-0.9884180072695019,,allow,0.004458008334040642,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.011581992730498314, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0000_o1_s2__gesture_small__r01:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.1520898485505313e-07,0.012737393379211426,0,allow,1,0,0,1.5080589169900571,2.495321523610846,-0.9872626066207888,,allow,0.0035170232877135277,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.012737393379211426, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0001_o0_s2__gesture_large__r00:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.2931131127279514e-07,0.5,0,allow,1,0,0,1.9953215236108457,2.495321523610846,-0.5000000000000002,,allow,0.0037159770727157593,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0001_o0_s2__gesture_large__r04:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.143838884194338e-07,0.010605365969240665,0,allow,1,0,0,1.5059268895800864,2.495321523610846,-0.9893946340307596,,allow,0.003142980858683586,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.010605365969240665, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0001_o1_s2__gesture_large__r03:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.0858173854776396e-07,0.011243538931012154,0,allow,1,0,0,1.5065650625418578,2.495321523610846,-0.9887564610689881,,allow,0.002978951670229435,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.011243538931012154, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0001_o1_s2__walk_slow__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,4.787732905242592e-06,0.5,0,allow,1,0,0,2.0273640401516886,2.5271178133641214,-0.49975377321243286,,allow,0.0029311049729585648,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0002_o1_s2__gesture_large__r00:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.3225985046337883e-07,0.01350212749093771,0,allow,1,0,0,1.5088236511017834,2.495321523610846,-0.9864978725090625,,allow,0.002742977812886238,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.01350212749093771, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0002_o1_s2__gesture_small__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.362871356353935e-07,0.013126089237630367,0,allow,1,0,0,1.508447612848476,2.495321523610846,-0.9868739107623699,,allow,0.002769986167550087,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.013126089237630367, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
