method,candidate_skill,candidate_params_json,raw_critic_risk,hard_contract_score,hard_contract_fixed_reject,threshold,risk_margin,decision,reject_reason,source_method,implementation_fidelity,baseline_mode,risk_score,fallback_mode,corrected_skill_json,runtime_ms,solver_status,diagnostics_json,episode_id,episode_index,seed,skill_idx,attempt_type,attempt_index,parent_skill_idx,original_skill_idx,segment_idx,segment_count,original_candidate_skill,original_candidate_params_json,executed_skill,executed_params_json,fallback_policy,fallback_executed,recovery_action,recovery_reason,recovery_attempt_count,retry_decision,retry_reject_reason,retry_executed,task_progress_executed,final_segment_outcome,recovery_retry_count,result_status,result_termination_reason
pcbf_adapted,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",0.0,0.0,0,2.5271178133641214,-0.9997537732124329,allow,allow,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,1.5273640401516886,,,0.015061930753290653,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}",pcbf_adapted__seed_1234__episode_0000,0,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
pcbf_adapted,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",0.0,0.0,0,2.535196725024102,-1.0000000000000002,allow,allow,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,1.5351967250241019,,,0.009958981536328793,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9333333373069763}",pcbf_adapted__seed_1234__episode_0000,0,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
pcbf_adapted,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.0,0.0,0,2.535196725024102,-1.0000000000000002,allow,allow,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,1.5351967250241019,,,0.007353955879807472,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9333333373069763}",pcbf_adapted__seed_1234__episode_0000,0,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
pcbf_adapted,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",0.0,0.0,0,2.495321523610846,-1.0000000000000002,allow,allow,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,1.4953215236108457,,,0.006716931238770485,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}",pcbf_adapted__seed_1234__episode_0000,0,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
pcbf_adapted,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",0.0,0.0,0,2.5271178133641214,-0.9997537732124329,allow,allow,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,1.5273640401516886,,,0.006955931894481182,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}",pcbf_adapted__seed_1234__episode_0000,0,1234,5,candidate_allow,0,5,5,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
pcbf_adapted,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",0.0,0.0,0,2.535196725024102,-1.0000000000000002,allow,allow,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,1.5351967250241019,,,0.0066659413278102875,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9333333373069763}",pcbf_adapted__seed_1234__episode_0000,0,1234,6,candidate_allow,0,6,6,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
pcbf_adapted,passive,"{""duration"": 2.0, ""mode"": ""wait""}",0.0,0.0,0,2.535196725024102,-1.0000000000000002,allow,allow,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,1.5351967250241019,,,0.006431015208363533,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9333333373069763}",pcbf_adapted__seed_1234__episode_0000,0,1234,7,candidate_allow,0,7,7,1,1,passive,"{""duration"": 2.0, ""mode"": ""wait""}",passive,"{""duration"": 2.0, ""mode"": ""wait""}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
pcbf_adapted,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",0.0,0.0,0,2.5271178133641214,-0.9997537732124329,allow,allow,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,1.5273640401516886,,,0.006342073902487755,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}",pcbf_adapted__seed_1234__episode_0000,0,1234,8,candidate_allow,0,8,8,1,1,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
crc_cbf_adapted,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",0.0,0.0,0,0.1,-0.1,allow,allow,Safe Probabilistic Planning for Human-Robot Interaction using Conformal Risk Control,paper_faithful_proxy,gate,0.0,,,0.009206938557326794,crc_risk_budget_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""conformal_lambda"": 0.0, ""risk_budget_alpha"": 0.1, ""threshold_source"": ""calibration_split_conformal_residual""}",crc_cbf_adapted__seed_1234__episode_0000,0,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
crc_cbf_adapted,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",0.0,0.0,0,0.1,-0.1,allow,allow,Safe Probabilistic Planning for Human-Robot Interaction using Conformal Risk Control,paper_faithful_proxy,gate,0.0,,,0.009624985978007317,crc_risk_budget_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""conformal_lambda"": 0.0, ""risk_budget_alpha"": 0.1, ""threshold_source"": ""calibration_split_conformal_residual""}",crc_cbf_adapted__seed_1234__episode_0000,0,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
